제품명,가격
APC SMC 2000i-2U (Smart-UPS C 2000i-2U),"1,296,390"
GIGABYTE UD1000GM 80PLUS GOLD 풀모듈러 피씨디렉트,"152,890"
3RSYS AK 800S 80PLUS STANDARD 230V EU,"63,250"
썬루트 700W 80PLUS STANDARD 230V EU 벌크,"42,600"
(AONE) Micro 450P KC /파워,"20,300"
(SilverStone) SST-SX500-LG (iBORA) /파워,"122,850"
FSP HYDRO PRO 800W 80PLUS Bronze 230V EU,"94,200"
마이크로닉스 Compact SFX 450W 80Plus Bronze,"84,500"
FSP FSP400-50UCB 벌크,"119,600"
AONE MICRO 500P KC 미니파워,"24,400"
SuperFlower SF-1200F14XP LEADEX VII PRO PLATINUM BLACK ATX 3.1 (PCIE5),"307,000"
(스카이디지탈) 파워스테이션4 PS4-350M 86P ActivePFC V2.31 /파워,"48,780"
마이크로닉스 COOLMAX VISION II 800W,"67,000"
시소닉 PRIME TITANIUM TX-1300 Full Modular ATX 3.0,"707,000"
SuperFlower SF-1000F14XP LEADEX VII PRO PLATINUM BLACK ATX 3.1 (PCIE5),"257,000"
시소닉 PRIME TITANIUM PX-1600 Full Modular ATX 3.0,"678,000"
(FSP) FSP300-60GHS85 /파워,"55,240"
SuperFlower SF-850F14XP LEADEX VII PRO PLATINUM BLACK ATX 3.1 (PCIE5),"218,000"
Antec CSK 650W 80PLUS BRONZE,"69,390"
DEEPCOOL PF700 80PLUS STANDARD 230V EU,"63,070"
시소닉 PRIME TITANIUM TX-1600 Full Modular ATX 3.0,"854,000"
(FSP) FSP400-60GHS85 /파워,"62,730"
(NCTOP) MIRASOL LR1204 DC to DC 120W /파워,"21,840"
DEEPCOOL PK750D 80Plus Bronze,"72,800"
PNC PARTNER EVEREST 750W 80PLUS STANDARD 230V EU,"57,410"
AONE MICRO 600P,"29,800"
(퍼스트큐브씨앤씨) First CUBE 450GM VALUE /파워,"19,340"
잘만 EcoMax 700W,"46,760"
현대 PRIME SFX-630M 벌크,"22,880"
커세어 CORSAIR RM1200x SHIFT 80PLUS Gold,"349,450"
+Plus ATX GT-6000S 벌크,"16,640"
AONE STORM 800W 80PLUS BRONZE,"60,800"
마이크로박스 DC to DC 200W+19V 6.32A 120W 어댑터,"65,730"
현대 PRIME SFX-600M 벌크,"18,710"
(엔씨탑(NCTOP)) MIRASOL LR1204 DC to DC 120W / Mini-ITX용 /파워,"21,840"
썬루트 TX750 80PLUS BRONZE 230V EU 벌크,"48,360"
(+PLUS) ATX PLUS GT-5000L 벌크 /파워,"17,200"
마이크로박스 DC to DC 200W+19.5V 7.7A 150W 어댑터,"80,390"
SilverStone Strider SFX ST45SF-V3 Ibora,"88,870"
(+PLUS) ATX GT-5000S 벌크 /파워,"15,630"
3RSYS FORCE 500W,"35,780"
SilverStone SST-SX700-LPT,"187,140"
마이크로닉스 Classic II 풀체인지 800W 80PLUS BRONZE 230V EU,"92,500"
이도디스플레이 ICE-MAN M450W V2.2 KC,"20,200"
FSP HYDRO G PRO 1000W 80PLUS Gold Full Modular Gen5,"212,100"
(AONE) 태왕 EP600L KC /파워,"21,300"
스카이디지탈 파워스테이션5 PS5-700EV 80PLUS Standard,"58,100"
(AONE) 태왕 EP600 KC /파워,"24,440"
스카이디지탈 파워스테이션5 PS5-850RV 80PLUS GOLD FULL MODULAR,"120,000"
(WEED) W450-MW /파워,"19,600"
3RSYS FORCE 600W,"40,870"
(마이크로닉스) Compact SFX 350W 80Plus Bronze /파워,"63,000"
(BABEL) Sense 600ST V2.3 Blackbel Series /파워,"21,840"
(마이크로닉스) Compact SFX 300W 80Plus Bronze /파워,"54,000"
(BABEL) DOM 600EX V2.3 Silverbel Series /파워,"29,120"
(AONE) 500P KC /파워,"22,300"
(BABEL) Sense 600PB V2.3 Blackbel Series (벌크),"19,240"
시소닉 G12 GOLD GM-850 Modular,"143,860"
FSP HYDRO GT PRO 1000W 80PLUS Gold Modular ATX 3.0 (PCIE5),"190,400"
(AONE) STORM 500LF 더블포워드 V2.3 벌크 /파워,"29,330"
시소닉 G12 GOLD GM-750 Modular,"124,410"
