제품명,가격
NOCTUA NH-U14S DX-4677,"197,610"
ARCTIC Liquid Freezer III 360 서린,"120,960"
Thermalright AXP90-X47 서린 (GRAY),"40,100"
(Thermalright) TRUE Spirit 140 Direct /쿨러/튜닝,"63,860"
DYNATRON S5,"70,000"
NOCTUA NH-U9 DX-4677,"185,130"
ARCTIC Liquid Freezer III 420 피씨디렉트,"134,620"
앱코 NCORE L240 RGB,"56,000"
커세어 CORSAIR iCUE H100i ELITE LCD,"295,500"
Thermalright AXP90-X47 서린 (BLACK),"51,900"
DYNATRON S6,"70,000"
쿨러마스터 MasterLiquid ML240L V2 ARGB,"111,300"
NOCTUA NH-U12S DX-4677,"197,610"
3RSYS Socoool RC1200 ARGB (WHITE),"32,900"
ARCTIC Liquid Freezer III 360 A-RGB 피씨디렉트,"125,460"
Thermalright AXP90-X36 서린 (GRAY),"40,400"
EVERCOOL EC-AM4 2BALL (WHITE),"9,460"
ARCTIC Liquid Freezer III 360 피씨디렉트,"110,400"
Thermalright AXP90-X36 서린 (BLACK),"47,260"
EVERCOOL EC-AM4 2BALL (BLUE),"9,460"
SilverStone XE360-SP5,"536,180"
쿨러마스터 MasterLiquid PL360 FLUX (BLACK),"177,100"
Thermalright FROZEN HORIZON 360 ARGB (BLACK),"140,400"
Thermalright Assassin King 120,"47,100"
Phanteks GLACIER ONE 240 T30 V2,"280,200"
MSI MAG 코어리퀴드 E360,"120,640"
Thermalright FROZEN VISION 360 (WHITE),"263,000"
SilverStone VIDA 240 SLIM,"154,090"
쿨러마스터 MasterLiquid PL240 FLUX (BLACK),"134,700"
Thermalright FROZEN HORIZON 360 ARGB (WHITE),"143,300"
Thermalright Assassin X 120 Refined SE 서린 (WHITE),"24,500"
MSI MAG 코어리퀴드 E240 (블랙),"111,280"
Thermalright Assassin Spirit 120 EVO 서린,"40,000"
Thermalright FROZEN VISION 360 (BLACK),"271,100"
Thermalright AXP-90I FULL 서린,"62,700"
Thermalright Assassin King 120 PLUS,"54,900"
Thermalright Assassin X 120 V2 서린,"39,900"
Thermalright SILVER SOUL 135 서린,"82,000"
조이쿨 JH80CU-2600-PWM,"9,980"
Thermalright Assassin X 120 PLUS V2 서린,"45,200"
3RSYS Socoool RC100 RGB (SILVER),"16,500"
Thermalright Assassin Spirit 120 RGB,"39,400"
인텔 소켓1155/1156 정품(동쿨러),"7,800"
Thermalright Assassin X 120,"39,900"
MSI MEG 코어리퀴드 S360,"228,100"
DEEPCOOL UL551 ARGB,"19,240"
조이쿨 MINI BLACK-92 PWM V2,"11,980"
Thermalright TRUE SPIRIT 120 REV.B,"54,200"
ASUS Royal Knight White for 라이젠,"29,640"
조이쿨 RGB-6PIPE90 V2,"24,500"
Fractal Design Lumen S28 RGB V2,"185,500"
Thermalright TRUE SPIRIT 120 PLUS,"59,400"
ASUS Royal Knight White,"29,640"
COOLERTEC 52N-PWMHS-L2-GP 2011 V3소켓용 CPU 방열판,"29,230"
JIUSHARK JF200MINI Crystal (WHITE),"27,000"
3RSYS Socoool RC310 RGB (SILVER),"18,400"
Fractal Design Lumen S28 V2,"172,500"
COOLERTEC BETA-3020 BLUE,"6,140"
Thermalright FROST SPIRIT 140 RGB,"83,100"
커세어 CORSAIR iCUE H115i ELITE CAPELLIX,"257,800"
COOLERTEC TAISOL 462-T1 /쿨러/튜닝,"7,420"
JIUSHARK JF200MINI Crystal Auto RGB (WHITE),"30,100"
잘만 CNPS7600 ARGB,"16,730"
(명인일렉트로닉스) 엠트루 쿨러 s40092 /쿨러/튜닝,"100,880"
조이쿨 RGB-4PIPE90 V2,"16,730"
Fractal Design Lumen S24 RGB V2,"172,500"
JIUSHARK JF200MINI Crystal Auto RGB (BLACK),"30,100"
Fractal Design Lumen S24 V2,"157,600"
be quiet SHADOW ROCK 3 WHITE,"74,230"
커세어 CORSAIR iCUE LINK H150i RGB (BLACK),"341,130"
JIUSHARK JF200MINI Crystal (BLACK),"27,000"
ARCTIC Liquid Freezer II 240 RGB,"141,970"
3RSYS Socoool RC200 RGB (WHITE),"19,400"
(명인일렉트로닉스) 엠트루 쿨러 S20070 /쿨러/튜닝,"87,360"
Fractal Design Lumen S36 RGB V2,"197,700"
커세어 CORSAIR iCUE LINK H100i RGB WHITE,"297,450"
S40200 Narrow,"116,480"
Thermalright AXP120-X67,"55,600"
에너맥스 LIQTECH II 280 ARGB,"161,210"
Fractal Design Lumen S36 V2,"185,500"
마이크로닉스 ICEROCK MA-600T ARGB (BLACK),"36,800"
3RSYS Socoool RC310 RGB (BLACK),"19,400"
바이퍼테크 75S-20,"13,520"
Thermalright Assassin X 120 Refined SE WHITE ARGB 서린,"32,300"
JONSBO TG-240 ARGB (WHITE),"84,100"
마이크로닉스 ICEROCK MA-600T (BLACK),"34,000"
EVERCOOL CM-9525 CU,"9,360"
DEEPCOOL AK620 (블랙) 공랭 CPU 쿨러,"66,910"
바이퍼테크 VIP SLIM 115X CU,"13,580"
DEEPCOOL DC-AM100 EVERCOOL /쿨러/튜닝,"11,600"
마이크로닉스 ICEROCK MA-600T (WHITE),"36,940"
SilverStone Hydrogon D120 ARGB,"51,230"
마이크로닉스 ICEROCK MA-600T ARGB (WHITE),"38,900"
ID-COOLING DK-15 PWM,"6,030"
SilverStone SST-HYH90-ARGB,"54,360"
조이쿨 RGB-6PIPE90,"23,000"
3RSYS Socoool RC400,"29,500"
Thermalright Assassin King 120 SE ARGB (WHITE),"34,530"
DEEPCOOL AK500 ZERO DARK,"73,850"
Thermalright Assassin King 120 SE ARGB (SILVER),"30,000"
DEEPCOOL AK500 (BLACK),"66,560"
Thermalright AXP120-X67 ARGB 서린 (BLACK),"65,000"
Thermalright Ultra 120EX Rev.4 서린,"65,420"
다산코퍼레이션 디프렌드 ODIN C200 RGB mini,"9,500"
IHTP J8 ARGB (BLACK),"18,300"
3RSYS Socoool RC80 PLUS RGB,"7,400"
upHere N1055CF SIMPLE (WHITE),"30,100"
IHTP J8 ARGB (WHITE),"18,300"
인텔 Laminar RS1,"11,200"
DYNATRON K555,"66,910"
upHere N1055CF SIMPLE (BLACK),"30,480"
3RSYS Socoool RC360 Quiet ARGB (WHITE),"30,000"
