제품명,가격
PNY XLR8 지포스 RTX 4070 SUPER VERTO OC EPIC-X RGB D6X 12GB TF 제이씨현,"944,300"
ASUS ROG STRIX 지포스 RTX 4080 SUPER GAMING D6X 16GB,"1,944,800"
Colorful iGame 지포스 RTX 4080 SUPER Vulcan OC D6X 16GB White 피씨디렉트,"1,814,800"
GIGABYTE 지포스 RTX 4070 AERO OC D6X 12GB 피씨디렉트,"954,760"
GAINWARD 지포스 RTX 4080 SUPER 팬서 OC D6X 16GB,"1,534,000"
Colorful 지포스 RTX 4070 Ti SUPER 토마호크 EX D6X 16GB 피씨디렉트,"1,275,000"
GIGABYTE 지포스 RTX 4070 Ti WINDFORCE OC D6X 12GB 피씨디렉트,"1,145,400"
inno3D 지포스 RTX 4080 SUPER D6X 16GB X3,"1,553,800"
Colorful iGame 지포스 RTX 4070 Ti SUPER Loong Edition OC D6X 16GB 피씨디렉트,"1,568,300"
GIGABYTE AORUS 지포스 RTX 4080 Xtreme 워터포스 D6X 16GB 피씨디렉트,"2,093,430"
갤럭시 GALAX 지포스 RTX 4070 Ti EX GAMER WHITE OC V2 D6X 12GB,"1,223,100"
MANLi 지포스 RTX 4080 SUPER Gallardo D6X 16GB,"1,533,710"
Colorful iGame 지포스 RTX 4080 SUPER ULTRA OC D6X 16GB White 피씨디렉트,"1,612,000"
Colorful iGame 지포스 RTX 4070 Neptune OC D6X 12GB,"838,910"
Colorful iGame 지포스 RTX 4070 SUPER ULTRA OC D6X 12GB White 피씨디렉트,"983,800"
FORSA 지포스 GT710 D3 2GB LP,"45,290"
PNY 지포스 RTX 4080 SUPER VERTO OC D6X 16GB TF 마이크로닉스,"1,549,150"
Colorful 지포스 RTX 4060 토마호크 DUO V2 D6 8GB 피씨디렉트,"428,500"
ARKTEK 지포스 G210 D3 1GB LP,"30,310"
Colorful iGame 지포스 RTX 4070 Ultra OC White V2 D6X 12GB,"820,500"
FORSA 지포스 GTX 1650 D6 4GB,"189,300"
갤럭시 GALAX 지포스 GTX 1650 V2 D6 4GB LP,"209,980"
STCOM 지포스 RTX 4080 SUPER D6X 16GB,"1,514,000"
Colorful 지포스 RTX 3050 토마호크 DUO D6 6GB 피씨디렉트,"279,700"
ARKTEK 지포스 GTX 1660 SUPER D6 6GB,"252,190"
Colorful 지포스 RTX 4070 토마호크 EX D6X 12GB,"799,700"
Colorful iGame 지포스 RTX 3050 Ultra DUO OC V2 D6 8GB White,"322,400"
NVIDIA RTX A2000 D6 6GB 엔비디아코리아 정품,"635,000"
ASUS PH 지포스 GT1030 O2G D5 2GB,"111,170"
MSI 지포스 RTX 3060 Ti 게이밍 X 트리오 D6X 8GB 트라이프로져2,"703,280"
갤럭시 BOY 지포스 RTX RTX 4060 Ti EX WHITE OC D6 8GB,"627,000"
이엠텍 지포스 RTX 4080 SUPER BLACK STORM OC D6X 16GB,"1,585,000"
inno3D 지포스 RTX 4070 OC D6X 12GB X3,"871,300"
이엠텍 지포스 RTX 4080 SUPER GAMING PRO OC D6X 16GB,"1,699,000"
이엠텍 지포스 RTX 4080 SUPER GAMING PRO D6X 16GB,"1,655,000"
inno3D 지포스 RTX 4070 OC D6X 12GB TWIN X2,"793,600"
inno3D 지포스 RTX 4070 D6X 12GB TWIN X2,"839,760"
inno3D iChiLL 지포스 RTX 4070 D6X 12GB X3,"795,680"
갤럭시 BOY 지포스 RTX 4070 3X OC D6X 12GB,"854,600"
ASUS TUF Gaming 라데온 RX 6900 XT T16G D6 16GB,"1,093,180"
MANLi 지포스 RTX 4070 Rush D6X 12GB,"799,790"
갤럭시 GALAX 지포스 RTX 3060 Ti EX BLACK OC D6 8GB LHR,"612,820"
PNY 지포스 GTX 1650 D6 4GB Single,"206,390"
SPARKLE Arc A580 ORC OC D6 8GB,"281,100"
PowerColor 라데온 RX 7800 XT Red Devil D6 16GB,"796,600"
PowerColor 라데온 RX 7800 XT Hellhound D6 16GB,"704,020"
GIGABYTE 지포스 GTX 1650 UDV OC D5 4GB 피씨디렉트,"230,810"
FORSA 지포스 RTX 3050 D6 6GB ONE COOL,"262,700"
GIGABYTE 지포스 GTX 1650 UD2 OC D6 4GB Nano LP 피씨디렉트,"230,810"
MANLi 지포스 RTX 4080 SUPER Rush D6X 16GB 대원씨티에스,"1,546,500"
MANLi 지포스 RTX 4080 SUPER Gallardo D6X 16GB 대원씨티에스,"1,535,100"
MANLi 지포스 RTX 4070 Ti SUPER Rush D6X 16GB 대원씨티에스,"1,227,790"
GIGABYTE 라데온 RX 580 Gaming D5 8GB 피씨디렉트,"192,400"
TAGER 지포스 GTX 1660 SUPER K D6 6GB,"261,450"
MAXSUN 지포스 GT1030 파워해머 D5 2GB,"91,100"
ASUS DUAL 지포스 RTX 4070 O12G OC D6X 12GB White,"863,200"
MSI 지포스 RTX 3050 벤투스 2X OC D6 6GB,"262,400"
