제품명,가격
ASRock H610M-HVS M.2 R2.0 D4 대원씨티에스 (벌크),"84,410"
ASUS TUF Gaming B760-PLUS WIFI 코잇,"281,400"
AFOX IH310C-MA6-V4 에즈윈,"75,140"
ASRock H610M-HVS M.2 R2.0 D4 대원씨티에스,"85,430"
ASUS PRIME B760-PLUS 코잇,"255,600"
GIGABYTE X670 AORUS ELITE AX 제이씨현,"379,110"
ASRock A620M-HDV/M.2 대원씨티에스,"111,400"
GIGABYTE H610M K 피씨디렉트,"100,000"
ASRock Z790 Pro RS WiFi D5 디앤디컴,"352,030"
ASUS TUF Gaming B550-PLUS STCOM,"234,010"
ASUS ROG STRIX Z790-I GAMING WIFI 코잇,"582,960"
ASRock A620M-HDVP 에즈윈 (벌크),"132,780"
ASUS ROG STRIX Z790-A GAMING WIFI D4 코잇,"468,000"
ASRock A620M-HDVP 에즈윈,"133,600"
ASRock B650M-H/M.2+ 대원씨티에스,"127,640"
ASUS PRIME B550M-K 대원CTS,"109,850"
ASRock B650M-HDV/M.2 대원씨티에스,"155,000"
ASUS PRIME B760M-K 코잇,"162,400"
MSI MAG B560M 박격포 WIFI,"156,010"
ASRock X670E Taichi 대원씨티에스,"821,600"
GIGABYTE Z690 AORUS XTREME 피씨디렉트,"682,000"
ASRock X670E PG Lightning 대원씨티에스,"341,400"
GIGABYTE B650M D3HP 피씨디렉트,"150,800"
GIGABYTE H510M H V2 피씨디렉트,"97,700"
GIGABYTE B550M DS3H BULK 듀러블에디션 피씨디렉트,"110,200"
ASRock H610M-HDV/M.2+ D5 디앤디컴,"102,900"
ASUS TUF Gaming A620M-PLUS 대원씨티에스,"164,500"
Supermicro H12SSL-C (STCOM),"1,048,890"
Supermicro X13SEM-F (STCOM),"1,232,120"
ASRock B550M PRO4 디앤디컴 (벌크),"131,760"
Supermicro H12DSi-NT6 (STCOM),"1,361,810"
Supermicro X13SEI-TF (STCOM),"1,291,820"
Supermicro X13SRA-TF (STCOM),"1,178,590"
GIGABYTE TRX50 AERO D 피씨디렉트,"1,025,000"
ASUS PRIME A520M-K 아이보라,"74,110"
Biostar H610MS 제이씨현,"83,380"
Biostar H610MHD D5 제이씨현,"88,520"
Biostar B650MT 제이씨현,"107,050"
ASUS PRIME B760M-K 인텍앤컴퍼니,"150,280"
Biostar A520MS 제이씨현,"63,820"
ASRock B760M PG Riptide D5 + WiFi6E 모듈 패키지 에즈윈,"191,400"
(ASUS) H110M-K (STCOM) /메인보드,"132,540"
ASUS PRIME A320M-K STCOM,"71,020"
GIGABYTE B760M DS3H 제이씨현,"152,340"
ASRock B760M Pro RS D5 + WiFi6E 모듈 패키지 에즈윈,"191,000"
(ASUS) H110M-K (iBORA) /메인보드,"126,610"
ASRock A620M-HDV/M.2+ + WiFi6E 모듈 패키지 디앤디컴,"156,000"
ASUS Tinker Edge R (어댑터 포함),"269,650"
ASRock A620M-HDV/M.2 + WiFi6E 모듈 패키지 디앤디컴,"137,500"
ASUS Tinker Edge T (어댑터 포함),"140,410"
GIGABYTE B650E AORUS ELITE X AX ICE 피씨디렉트,"342,000"
ASUS TUF Gaming B760M-PLUS D4 인텍앤컴퍼니,"202,990"
